HEADER INFORMATION (all units in Equinor default) 
----------------------------------------------------------------
COMPANY: Equinor Norway
FIELD: Q0015 SLEIPNER
WELL NAME: 15/9-19
WELLBORE NAME: 15/9-19 BT2
Drilled From: 15/9-19 B
Kick Off Depth: 2911.00m
Survey Name: 15/9-19 BT2
Survey Date: 24.01.2005
Extraction Date: 11.01.2024
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: Byford Dolphin RT(25.00m)
----------------------------------------------------------------
Surface EW: 437506.858m
Surface NS: 6477887.468m
Surface Latitude: 58° 26' 9.2419 N
Surface Longitude: 1° 55' 47.0592 E
Bottom Hole MD: 4250.00m
Bottom Hole TVD: 3360.59m
Bottom Hole EW: 436455.845m
Bottom Hole NS: 6477445.355m
----------------------------------------------------------------
Survey Program:  
H  123 - 2183 9 5/8" EASTMAN RIGS : RIGS, CONT
H  2183 - 2232 8 1/2" GYRODATA RGSCT : WELLBORE SURVEYOR, CONT
H  2232 - 2897 8 1/2" BHI MWD : MAGNETIC, STD, MAG-CORR
H  2916 - 3203 8 1/2" BHI MWD : MAGNETIC, STD, MAG-CORR
H  3235 - 4226 6" BHI MWD : MAGNETIC, STD, MAG-CORR
----------------------------------------------------------------
Water Depth: 84.00m
KB-WH: 109.00m
KB-MSL: 25.00m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 247.19deg
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
109.00    0.00      0.00      109.00    7.020           6.890           437506.858      6477887.468     0.00      
122.95    0.07      171.71    122.96    6.990           6.840           437506.828      6477887.418     0.15      
133.00    0.08      251.27    132.98    6.990           6.820           437506.828      6477887.398     0.29      
142.96    0.08      250.91    142.96    7.010           6.810           437506.848      6477887.388     0.00      
152.93    0.09      231.59    152.91    7.030           6.790           437506.868      6477887.368     0.09      
162.98    0.04      245.01    162.96    7.070           6.750           437506.908      6477887.328     0.16      
173.00    0.13      210.73    173.00    7.090           6.700           437506.928      6477887.278     0.30      
182.94    0.06      189.55    182.92    7.100           6.620           437506.938      6477887.198     0.23      
192.92    0.18      247.57    192.92    7.080           6.550           437506.918      6477887.128     0.47      
202.92    0.18      250.22    202.91    7.050           6.520           437506.888      6477887.098     0.02      
212.94    0.15      237.38    212.93    7.020           6.530           437506.858      6477887.108     0.14      
222.95    0.21      250.26    222.94    6.980           6.510           437506.818      6477887.088     0.22      
233.00    0.21      261.92    232.99    6.940           6.510           437506.778      6477887.088     0.13      
242.98    0.21      264.03    242.97    6.910           6.500           437506.748      6477887.078     0.02      
253.01    0.20      255.65    253.00    6.860           6.480           437506.698      6477887.058     0.09      
262.92    0.21      256.09    262.88    6.830           6.480           437506.668      6477887.058     0.03      
272.98    0.24      266.62    272.97    6.770           6.470           437506.608      6477887.048     0.15      
282.94    0.36      263.24    282.93    6.710           6.460           437506.548      6477887.038     0.37      
293.00    0.45      262.97    292.98    6.640           6.470           437506.478      6477887.048     0.27      
302.94    0.43      263.30    302.94    6.570           6.460           437506.408      6477887.038     0.06      
313.00    0.47      258.58    312.98    6.500           6.460           437506.338      6477887.038     0.16      
323.01    0.49      263.19    323.00    6.410           6.460           437506.248      6477887.038     0.13      
332.98    0.43      266.94    332.94    6.330           6.450           437506.168      6477887.028     0.20      
342.92    0.48      262.95    342.91    6.240           6.440           437506.078      6477887.018     0.18      
352.96    0.48      259.02    352.94    6.160           6.450           437505.998      6477887.028     0.10      
363.02    0.50      258.16    363.00    6.080           6.460           437505.918      6477887.038     0.06      
372.96    0.45      247.73    372.95    6.000           6.480           437505.838      6477887.058     0.30      
383.02    0.52      250.17    383.00    5.920           6.480           437505.758      6477887.058     0.22      
392.96    0.47      236.70    392.96    5.840           6.440           437505.678      6477887.018     0.38      
