DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,FLOW_KIND,WELL_TYPE,AVG_DOWNHOLE_PRESSURE_PSI,AVG_DOWNHOLE_TEMPERATURE_F,AVG_DP_TUBING_PSI,AVG_ANNULUS_PRESS_PSI,DP_CHOKE_SIZE_PSI,AVG_WHP_P_PSI,AVG_WHT_P,BORE_OIL_VOL_STB_D,BORE_GAS_VOL_MSCF_D,BORE_WAT_VOL_STB_D,GOR_MSCF/STB,WCUT,AVG_CHOKE_SIZE_P_WAS_MISSING,AVG_DOWNHOLE_PRESSURE_PSI_WAS_MISSING,AVG_DOWNHOLE_TEMPERATURE_F_WAS_MISSING,AVG_DP_TUBING_PSI_WAS_MISSING,AVG_ANNULUS_PRESS_PSI_WAS_MISSING,DP_CHOKE_SIZE_PSI_WAS_MISSING,AVG_WHP_P_PSI_WAS_MISSING,AVG_WHT_P_WAS_MISSING,GOR_MSCF/STB_WAS_MISSING,WCUT_WAS_MISSING
2013-07-08,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-09,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-10,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,1,1,1,1,1,1,1,1,1,1
2013-07-11,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-12,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,1,1,1,1,1,1,1,1,1,1
2013-07-13,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-14,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-16,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-17,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-18,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-19,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-20,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-21,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-22,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,1,1
2013-07-23,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,1.113273958333333,%,production,OP,13.969117413,32.31698,189.441673776,20.924342184,136.708975293,203.410791189,48.375167,0.0,0.0,0.0,0.8720605282697769,0.0,0,1,1,1,1,1,1,1,1,1
2013-07-24,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,7.0,3.256547708333333,%,production,OP,27.938234826,32.63396,378.883347552,41.848684368,273.417950586,406.821582378,64.750334,112.2731085,97.908946309,0.0,0.8720605282697769,0.0,0,0,0,0,0,0,0,0,0,0
2013-07-25,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,8.549130833333333,%,production,OP,2372.738428188,140.568332,891.593257704,282.309360138,1058.127484722,1481.145170484,98.541392,4560.11225,3847.187302617001,0.0,0.8436606582693223,0.0,0,0,0,0,0,0,0,0,0,0
2013-07-26,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.419192291666668,%,production,OP,1581.8256187920001,104.37888799999999,594.3955051360001,188.20624009199997,705.4183231479999,987.430113656,76.360928,5607.239818800001,4639.876597285,0.0,0.827479606227717,0.0,0,1,1,1,1,1,1,1,0,0
2013-07-27,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.322098333333331,%,production,OP,790.9128093960001,68.189444,297.19775256800006,94.10312004599999,352.70916157399995,493.715056828,54.180464,5575.4133802,4753.949081784001,0.0,0.8526630686554525,0.0,0,1,1,1,1,1,1,1,0,0
2013-07-28,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.84,2.464222083333333,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,352.2922581,318.2479540190001,0.0,0.9033634623008484,0.0,0,0,0,0,0,0,0,0,0,0
2013-07-29,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,4.0,2.5369872916666667,%,production,OP,0.0,32.0,0.0,0.0,0.0,0.0,32.0,777.3576179,663.6514997500001,0.0,0.8537274022512671,0.0,0,0,0,0,0,0,0,0,0,0
2013-07-30,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.778704583333331,%,production,OP,1986.635747779576,126.99623297240664,1300.8628251856237,156.2802734963528,481.5534969772275,685.7729225939522,82.36300357405312,6493.474047800001,5504.314061649001,0.0,0.8476686009877672,0.0,0,1,1,1,1,1,1,1,0,0
2013-07-31,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,5.07514,2.54080375,%,production,OP,3973.271495559152,221.9924659448133,2601.7256503712474,312.5605469927056,963.106993954455,1371.5458451879044,132.72600714810625,1197.2653335,1028.354529031,0.0,0.8589194894875825,0.0,0,0,0,0,0,0,0,0,0,0
2013-08-01,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0036002083333333,%,production,OP,4583.406608922,215.953196,4571.094188064,0.0,6.512786352,12.312420858,65.81471,0.0,0.0,0.0,0.8540399569813967,0.0,0,0,0,0,0,0,0,0,1,1
