DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,FLOW_KIND,WELL_TYPE,AVG_DOWNHOLE_TEMPERATURE_F,AVG_DP_TUBING_PSI,AVG_ANNULUS_PRESS_PSI,DP_CHOKE_SIZE_PSI,AVG_WHP_P_PSI,AVG_WHT_P,BORE_OIL_VOL_STB_D,BORE_GAS_VOL_MSCF_D,BORE_WAT_VOL_STB_D,GOR_MSCF/STB,WCUT,AVG_CHOKE_SIZE_P_WAS_MISSING,AVG_DOWNHOLE_TEMPERATURE_F_WAS_MISSING,AVG_DP_TUBING_PSI_WAS_MISSING,AVG_ANNULUS_PRESS_PSI_WAS_MISSING,BORE_WAT_VOL_STB_D_WAS_NEGATIVE,GOR_MSCF/STB_WAS_MISSING,WCUT_WAS_MISSING,WCUT_WAS_NEGATIVE
2008-02-12,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,11.5,14.484431304347826,%,production,OP,219.952562,2918.889756306,270.344406186,1341.240456276,1549.09197996,61.33049286956522,1790.3944164999998,1373.3417144490002,2421.6397481,0.7670609904680745,0.5749335483678285,0,0,0,0,0,0,0,0
2008-02-13,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,22.83298645833333,%,production,OP,221.72485250000005,2641.79381098825,238.82886834012496,1299.8326953105,1753.343729193125,128.073793625,11760.057757,10073.382566552,44.8463453,0.8565759433074185,0.003798958882797,0,0,0,0,0,0,0,0
2008-02-14,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,22.5,31.249966444444443,%,production,OP,222.3958752,2637.775454636,183.61214854973332,1162.0512018785334,1649.3456617304,162.9277356,19649.9325229,18008.903600736,7.296179599999999,0.9164867909723584,0.0003711703063754,0,0,0,0,0,0,0,0
2008-02-15,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.15,28.51893021276596,%,production,OP,222.35337564146863,2622.7520384063973,76.34875313730453,1221.9595150271405,1694.4882605527905,157.9926981036717,16405.585626800003,13540.597823049,6.1011157,0.8253651000991524,0.000371754335537,0,0,0,0,0,0,0,0
2008-02-16,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.227902291666663,%,production,OP,222.460005875,2617.9510534493747,179.624247961625,1194.51884492475,1674.2385264185,160.73302475,19195.242158,14778.2837678,30.7571709,0.769893062361855,0.0015997696855094,0,0,0,0,0,0,0,0
2008-02-17,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,29.974052083333333,%,production,OP,222.4963385,2615.6991360505,208.630856868625,1191.7555054081251,1670.922990976375,164.55524037499998,18760.1760003,14929.7485161,11.6361485,0.7958213460183557,0.0006198734787969,0,0,0,0,0,0,0,0
2008-02-18,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.0,30.30840304347826,%,production,OP,222.55964052173917,2624.161621467,231.777165579,1164.119145765,1643.01679155,165.48828173913043,18746.9045012,14614.317615700002,40.7579688,0.7795589727767873,0.0021694007365249,0,0,0,0,0,0,0,0
2008-02-19,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.486976666666667,%,production,OP,222.562325,2611.555898958625,272.834671204125,1178.7956077235,1650.08467747775,166.82330937499998,19159.9563239,15157.7049046,4.5915613,0.7911137503843043,0.0002395862050857,0,0,0,0,0,0,0,0
2008-02-20,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,29.907024375,%,production,OP,222.58279438297876,2605.7779959796253,286.3159947711064,1171.528794268298,1644.727100666,163.4702310212766,19229.0813358,15643.802921425002,2.8933126,0.8135491575616742,0.0001504428251854,0,0,0,0,0,0,0,0
2008-02-21,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.49301125,%,production,OP,222.590181125,2602.4733263010003,281.83313088662504,1159.9438615811248,1640.47190934625,161.1274775,19060.1999373,14966.693342652,2.8304145000000003,0.7852327568381284,0.0001484766297784,0,0,0,0,0,0,0,0
2008-02-22,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.66666,29.634476666666668,%,production,OP,222.58812769366276,2600.2736015171035,15.063545725188982,1159.5497749196015,1640.0799756867027,162.18916850732296,18287.9999636,14048.4701776,2.7675164,0.7681796919051695,0.0001513067400275,0,0,0,0,0,0,0,0
2008-02-23,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,15.14167,28.957179677419354,%,production,OP,222.52822402196455,2603.2246638880165,159.69901945106545,1148.1529964786207,1633.1674200732975,157.27464220880393,11646.9669732,8902.058946600002,1.7611468,0.7643242199521894,0.0001511879049676,0,0,0,0,0,0,0,0
2008-02-24,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.799615416666665,%,production,OP,222.63042125,2601.32460721125,124.481972752125,1130.3108516818752,1612.633019507,163.74666725,19666.348927,15637.6316776,2.9562107,0.7951466607068606,0.0001502956347112,0,0,0,0,0,0,0,0
2008-02-25,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.68343520833333,%,production,OP,222.6122555,2592.676199763375,178.4600853465,1135.0195345248749,1616.4446785795,163.5941585,19155.8679474,15509.4393166,2.8933126,0.8096443011189725,0.000151017728168,0,0,0,0,0,0,0,0
2008-02-26,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.923040416666662,%,production,OP,222.622819625,2590.417474643375,181.39042705525,1127.28164542475,1608.957439316375,162.15411462499998,19162.1577574,15782.316003500002,2.8933126,0.8236189370377781,0.0001509681654085,0,0,0,0,0,0,0,0
2008-02-27,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.849319375,%,production,OP,222.624434,2590.49103006075,179.49491939,1118.648989708,1600.1392286300002,166.464467,19092.9698474,15736.7953552,2.8933126,0.824219358275631,0.0001515151515151,0,0,0,0,0,0,0,0
2008-02-28,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.66666,29.900441458333333,%,production,OP,222.61294469170977,2584.86078242723,147.20634116239674,1123.543978310705,1604.536689331994,164.21120621531557,18690.4849055,14997.2349078,2.8304145000000003,0.8023994553178662,0.0001514131897711,0,0,0,0,0,0,0,0
2008-02-29,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,31.0238775,%,production,OP,222.63229962500003,2582.65453022875,165.69066485862498,1105.35704867375,1587.396047933625,164.112502625,19313.1131974,15903.9045156,2.8933126,0.8234769999557109,0.0001497883425594,0,0,0,0,0,0,0,0
2008-03-01,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,31.06188145833333,%,production,OP,222.6363605,2582.615699325874,161.79752162475,1096.09806448375,1578.40258299725,166.2875675,19300.1561888,15806.298922564,2.8933126,0.8189725910993659,0.0001498888867165,0,0,0,0,0,0,0,0
2008-03-02,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,31.087440625,%,production,OP,222.63909762500003,2580.858793599375,162.770820275125,1084.327635523625,1571.06681477375,167.393087,19287.9539574,15755.4415168,2.8933126,0.8168539572210707,0.0001499836974241,0,0,0,0,0,0,0,0
2008-03-03,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.964471666666668,%,production,OP,222.638219,2576.870145864125,157.60536744575,1078.511221934,1567.269656479625,167.223681875,19143.2883274,15670.0505722,2.8933126,0.8185662935333468,0.0001511169513797,0,0,0,0,0,0,0,0
2008-03-04,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.60221479166667,%,production,OP,222.626576,2571.62354427375,142.557049469375,1079.670604338375,1567.499855958625,165.70576699999998,18763.6982939,15194.033842784,2.8304145000000003,0.8097568829340811,0.0001508224852864,0,0,0,0,0,0,0,0
2008-03-05,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,30.576489375,%,production,OP,222.623306375,2566.5864893555,135.21558548275,1077.08760748825,1564.514550891125,162.50000825,18662.180760500003,15456.827476540002,2.8304145000000003,0.8282433695667343,0.0001516427969671,0,0,0,0,0,0,0,0
