DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,FLOW_KIND,WELL_TYPE,AVG_DOWNHOLE_PRESSURE_PSI,AVG_DOWNHOLE_TEMPERATURE_F,AVG_DP_TUBING_PSI,AVG_ANNULUS_PRESS_PSI,DP_CHOKE_SIZE_PSI,AVG_WHP_P_PSI,AVG_WHT_P,BORE_OIL_VOL_STB_D,BORE_GAS_VOL_MSCF_D,BORE_WAT_VOL_STB_D,GOR_MSCF/STB,WCUT,AVG_CHOKE_SIZE_P_WAS_MISSING,AVG_DOWNHOLE_PRESSURE_PSI_WAS_MISSING,AVG_DOWNHOLE_TEMPERATURE_F_WAS_MISSING,AVG_DP_TUBING_PSI_WAS_MISSING,AVG_ANNULUS_PRESS_PSI_WAS_MISSING,BORE_WAT_VOL_STB_D_WAS_NEGATIVE,GOR_MSCF/STB_WAS_MISSING,WCUT_WAS_MISSING,WCUT_WAS_NEGATIVE
2008-02-12,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.85354863,0.0,32.0,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
2008-02-13,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.981617184,0.0,32.0,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
2008-02-14,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,0.7179381,0.0,32.0,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
2008-02-15,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.000870228,0.96305232,0.0,32.0,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
2008-02-16,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.000870228,1.519853202,0.0,32.0,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
2008-02-17,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.000870228,1.968310698,0.0,32.0,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
2008-02-18,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,3.387942642,0.0,32.0,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
2008-02-19,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,8.216547738,0.0,32.0,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
2008-02-20,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.001885494,8.898081300000001,0.0,32.000036,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
2008-02-21,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,0.0,%,production,OP,0.0,32.0,0.0,0.0,10.730201316,0.0,32.0,0.0,0.0,0.0,0.8161297018587306,0.0022998286627646,1,0,0,0,0,0,1,1,0
