DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,FLOW_KIND,WELL_TYPE,AVG_DOWNHOLE_PRESSURE_PSI,AVG_DOWNHOLE_TEMPERATURE_F,AVG_DP_TUBING_PSI,AVG_ANNULUS_PRESS_PSI,DP_CHOKE_SIZE_PSI,AVG_WHP_P_PSI,BORE_WI_VOL_STB_D,AVG_WHT_P,BORE_OIL_VOL_STB_D,BORE_GAS_VOL_MSCF_D,BORE_WAT_VOL_STB_D,GOR_MSCF_STB,WCUT
2014-01-12,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,1.1817527083333332,%,production,OP,4405.48718898,209.662214,4112.332902468,0.0,292.193844876,293.154286512,,47.112332,0.0,0.0,0.0,,
2014-01-13,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,1.1970647916666666,%,production,OP,4408.508475557999,209.720894,4071.14486619,0.0,336.328908276,337.36360936799997,,43.389752,0.0,0.0,0.0,,
2014-01-14,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,1.12513625,%,production,OP,4400.12005779,209.825186,4090.5054086579994,0.0,308.563703784,309.614649132,,44.293874,0.0,0.0,0.0,,
2014-01-15,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,0.0,2.6102125,%,production,OP,4415.029819152,208.58435599999999,3952.7140872899995,8.496181002,392.97103353,462.315731862,,45.836258,0.0,0.0,0.0,,
2014-01-16,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,8.660589583333334,%,production,OP,3506.596168408851,220.81809965957447,2696.258037019404,276.4008082658298,405.61702018659577,810.3381313894469,,62.42015778723404,2208.0378005000002,1850.31017503,0.0,0.8379884504744464,0.0
2014-01-17,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.470373125,%,production,OP,3101.664375624383,223.32691285106384,2352.717357980681,288.1346139094468,324.11606371978723,748.9470176437022,,72.2533410212766,3052.6963854,2544.735610654,0.0,0.833602589115838,0.0
2014-01-18,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.687737708333334,%,production,OP,2996.7002891973752,223.475502125,2290.522788811375,403.422619869625,288.02973742025,706.177500386,,72.014757125,3227.4273072,2740.4517969360004,0.0,0.8491134070850748,0.0
2014-01-19,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.730941666666666,%,production,OP,2945.355985099125,223.505978,2269.9864988179997,373.08218410374997,261.706443313375,675.369486281125,,69.726960125,3129.4949655,2575.4360919520004,0.0,0.8229558188602238,0.0
2014-01-20,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.401241875,%,production,OP,2958.4940145208084,223.3704575319149,2278.697708427064,174.42559956,266.2226092341702,679.7963060937446,,70.14840685106383,2953.6318779,2373.117822505,0.0,0.803457546711021,0.0
2014-01-21,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.581254583333333,%,production,OP,2923.49952297025,223.40234300000003,2258.42391837675,169.84914907024998,251.63119734587502,665.0756045935,,72.59826275,3013.3850729,2405.759552862,0.0,0.7983578250577721,0.0
2014-01-22,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.535895416666667,%,production,OP,2895.918175294625,223.41770225,2243.266852116625,163.03955453774998,239.310315937875,652.651323178,,72.447004625,3114.2736253,2446.864804221,0.0,0.7856935833585568,0.0
2014-01-23,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.414595208333333,%,production,OP,2903.5505915525,223.33370374999998,2248.918288002875,127.2080556325,240.580341184875,654.632303549625,,74.019155375,2706.0649563,2147.4787846189997,0.0,0.7935799100533216,0.0
2014-01-24,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.400358541666666,%,production,OP,2910.0073207174996,223.281579125,2254.363902880625,104.3724026845,242.022877046375,655.643417836875,,72.9970685,2573.0983729,2079.1384834729997,0.0,0.8080291470277972,0.0
2014-01-25,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.358247083333334,%,production,OP,2915.167902687375,223.24563087500002,2258.9044715735,92.687404128,242.30298470550002,656.2634311138751,,80.150768,2791.6692703999997,2313.65669638,0.0,0.8287717749776612,0.0
2014-01-26,NO 15/9-F-15 D,7289,15/9-F-15 D,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,9.375728333333333,%,production,OP,2907.8456501925,223.262747375,2254.856808480375,141.511675997875,239.11647567249997,652.988841712125,,76.711629125,2269.363448,1822.7170341850003,0.0,0.803184274335329,0.0
